country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,tier_distribution,key_operators,cloud_provider,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,cooling_technologies_common
United States,5426,300,2000,3552000000.0,12000.0,27.0,"I:5%, II:15%, III:60%, IV:20%","Equinix, Digital Realty, CoreSite, AWS","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,12.0,"Air, Liquid, Immersion"
Germany,529,50,200,350000000.0,2000.0,40.0,"II:10%, III:70%, IV:20%","Equinix, Digital Realty, e-shelter","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,8.0,"Air, Indirect Evap."
United Kingdom,523,30,150,200000000.0,1000.0,0.45000000000000284,"II:15%, III:70%, IV:15%","Equinix, Telehouse, Virtus","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,7.0,"Air, Free Cooling"
China,449,100,1000,500000000.0,8000.0,0.25,"II:20%, III:60%, IV:20%","China Unicom, Tencent, Alibaba, GDS","AWS:Yes, GCP:No, Azure:Yes, Oracle:Yes",76.0,15.0,"Air, Liquid"
France,322,20,110,120000000.0,700.0,40.0,"II:20%, III:70%, IV:10%","Equinix, Interxion, Data4","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",91.0,6.0,"Air, Liquid"
Canada,336,15,100,90000000.0,500.0,0.779999999999994,"II:20%, III:70%, IV:10%","Equinix, Cologix, eStruxture","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,9.0,"Air, Liquid, Free Cooling"
Australia,314,20,80,40000000.0,1200.0,0.29999999999999716,"II:20%, III:70%, IV:10%","NEXTDC, Equinix, AirTrunk","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,10.0,"Air, Liquid, Free Cooling"
Netherlands,298,15,90,35000000.0,700.0,0.8999999999999915,"II:10%, III:80%, IV:10%","Equinix, Interxion, NorthC","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,8.0,"Air, Liquid, Free Cooling"
Russia,251,10,60,20000000.0,400.0,0.14999999999999858,"II:30%, III:60%, IV:10%","IXcellerate, DataPro, Rostelecom","AWS:No, GCP:No, Azure:No, Oracle:No",85.0,6.0,"Air, Liquid"
Japan,222,20,80,50000000.0,1000.0,0.25,"II:20%, III:70%, IV:10%","Equinix, NTT, KDDI, Colt","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",94.0,7.0,"Air, Liquid, Immersion"
Brazil,196,10,100,20000000.0,800.0,0.25,"II:30%, III:60%, IV:10%","Ascenty, ODATA, Equinix","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",82.0,12.0,"Air, Liquid"
Singapore,99,15,60,30000000.0,500.0,0.9500000000000028,"III:80%, IV:20%","Equinix, Digital Realty, STT GDC","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,6.0,"Liquid, Air, Immersion"
South Africa,61,5,30,10000000.0,200.0,0.29999999999999716,"II:40%, III:50%, IV:10%","Teraco, Africa Data Centres, NTT","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",72.0,10.0,"Air, Liquid"
India,99,10,50,50000000.0,400.0,0.14999999999999858,"II:30%, III:60%, IV:10%","STT GDC, NTT, CtrlS, AWS","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",56.0,18.0,"Air, Liquid"
Mexico,173,8,32,14000000.0,300.0,45.0,"II:30%, III:60%, IV:10%","KIO Networks, Equinix, Alestra","AWS:Yes, GCP:No, Azure:Yes, Oracle:No",72.0,14.0,"Air, Liquid"
Sweden,95,6,40,12000000.0,250.0,0.9799999999999969,"II:10%, III:80%, IV:10%","DigiPlex, Equinix, Bahnhof","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",96.0,8.0,"Air, Liquid, Free Cooling"
Indonesia,84,3,30,8000000.0,150.0,0.20000000000000284,"II:30%, III:60%, IV:10%","DCI Indonesia, Telkomsigma, NTT","AWS:Yes, GCP:Yes, Azure:No, Oracle:No",69.0,15.0,"Air, Liquid"
Spain,143,5,50,10000000.0,200.0,0.3500000000000014,"II:20%, III:70%, IV:10%","Interxion, Equinix, Nabiax","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",93.0,7.0,"Air, Liquid, Free Cooling"
Poland,144,4,40,8000000.0,120.0,0.25,"II:30%, III:60%, IV:10%","Atman, Equinix, Beyond.pl","AWS:No, GCP:No, Azure:Yes, Oracle:No",87.0,9.0,"Air, Liquid"
Switzerland,121,5,30,7000000.0,110.0,0.7999999999999972,"II:15%, III:75%, IV:10%","Green Datacenter, Equinix, Interxion","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",97.0,7.0,"Air, Liquid, Free Cooling"
Afghanistan,2,0,2,10000.0,1270.0,50.0,likely Tier I–II,Afghanistan National Data Center; Alef Tech; Asia Consultancy Group; Pamir Alpha,,18.0,124.75999999999999,
Albania ,3,0,3,71100.0,2730.0,100.0,Mix of Tier I–II likely,Albanian Telecommunications Union; Tirana DataCom; Pronet,,86.0,6.0,
Algeria,5,0,5,18300.0,150.0,60.0,Mix of Tier II–III (est.),Algeria Telecom; ICOSNET; Government Data Centers,,24.0,8.0,
Andorra,1,0,1,1830.0,20.0,37.96,Tier I–II single colocation,Data Center @ La Massana (Andorra Telecom),,95.5,7.0,
Angola,4,0,4,108300.0,90.0,47.519999999999996,Mix of Tier III–IV by design,Raxio Angola; Paratus Africa; MSTelcom; Angola Cables,,61.9,15.0,
Antigua and Barbuda,1,0,1,5000.0,10.0,67.82,Tier 4 (planned; current is Tier I–II basement),Government (Parliament basement),,78.0,371.3,
Argentina,34,0,34,721000.0,100.0,54.36,Mix of Tier II–III (majority),"Arsat, EdgeConneX, Telecom Argentina, G2K, Claro, Cirion, Raxio?",,87.4,10.0,
Armenia,6,0,6,26748.0,60.0,35.34,Mix of Tier II–III,AIC (Arminco); ADC (Armenian Datacom); GNC‑Alfa/Ovio; VSData Aragatsotn (coming 2025); Rostelecom‑backed AI & AI‑DC Firebird plans,,75.9,12.0,
